date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:52	14888/14888	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/chiang.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/chiang.jpg	(from https://kchang.me/library)
17:42:56	65057/65057	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/metamorphosis.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/metamorphosis.jpg	(from https://kchang.me/library)
17:43:11	24456/24456	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/bnw.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/bnw.jpg	(from https://kchang.me/library)
17:43:12	7442/7442	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/dfw.png	C:/My%20Web%20Sites/yash/kchang.me/media/library/dfw.png	(from https://kchang.me/library)
17:43:18	93693/93693	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/measure.jpeg	C:/My%20Web%20Sites/yash/kchang.me/media/library/measure.jpg	(from https://kchang.me/library)
17:43:29	1189583/1189583	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/dorian_gray.png	C:/My%20Web%20Sites/yash/kchang.me/media/library/dorian_gray.png	(from https://kchang.me/library)
17:43:37	33948/33948	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/creativity_inc.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/creativity_inc.jpg	(from https://kchang.me/library)
17:43:45	3579/3579	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/truth.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/truth.jpg	(from https://kchang.me/library)
17:43:48	51639/51639	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/thinking_fast.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/thinking_fast.jpg	(from https://kchang.me/library)
17:43:53	65731/65731	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/on_writing.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/on_writing.jpg	(from https://kchang.me/library)
